City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zaozersk,69.4005,32.4476,-1.91,88,99,7.16,RU,1701280777
1,puerto natales,-51.7236,-72.4875,10.25,53,75,10.8,CL,1701280708
2,edinburgh of the seven seas,-37.0676,-12.3116,12.77,72,86,10.88,SH,1701280720
3,waitangi,-43.9535,-176.5597,11.01,81,100,3.58,NZ,1701280724
4,port lincoln,-34.7333,135.8667,15.42,87,98,6.17,AU,1701280727
5,ribeira grande,38.5167,-28.7,18.22,77,40,9.77,PT,1701280778
6,yellowknife,62.456,-114.3525,-10.33,94,75,2.06,CA,1701280728
7,carnot,4.9409,15.8665,25.4,72,63,0.53,CF,1701280779
8,marquette,46.5333,-87.6335,2.36,73,51,3.13,US,1701280779
9,tual,-5.6667,132.75,28.48,74,26,2.0,ID,1701280780
10,albany,42.6001,-73.9662,1.21,54,88,0.45,US,1701280450
11,lihue,21.9789,-159.3672,20.77,99,100,3.09,US,1701280663
12,margaret river,-33.95,115.0667,17.08,81,79,4.3,AU,1701280711
13,wailua homesteads,22.0669,-159.378,20.44,92,100,3.09,US,1701280736
14,rawatsar,29.2833,74.3833,21.81,42,72,1.37,IN,1701280781
15,sao vicente,-23.9631,-46.3919,31.82,59,75,4.02,BR,1701280723
16,burutu,5.3509,5.5076,26.61,85,100,2.8,NG,1701280781
17,walvis bay,-22.9575,14.5053,18.53,77,39,4.12,NA,1701280782
18,sitka,57.0531,-135.33,5.94,56,100,8.75,US,1701280713
19,papatowai,-46.5619,169.4708,8.97,80,100,4.33,NZ,1701280723
20,port-aux-francais,-49.35,70.2167,5.08,96,97,8.39,TF,1701280714
21,bethel,41.3712,-73.414,3.2,54,0,4.12,US,1701280723
22,colonia,50.9333,6.95,3.31,87,75,1.54,DE,1701280555
23,pryor,36.3084,-95.3169,14.54,49,0,3.6,US,1701280783
24,chernyshevskiy,63.0128,112.4714,-23.96,93,80,3.33,RU,1701280783
25,adamstown,-25.066,-130.1015,21.74,77,100,3.34,PN,1701280702
26,fale old settlement,-9.3852,-171.2468,29.11,74,100,5.95,TK,1701280736
27,blackmans bay,-43.0167,147.3167,11.52,86,100,0.45,AU,1701280705
28,fort bragg,35.139,-79.006,8.84,28,0,2.57,US,1701280784
29,figuig (centre),32.1089,-1.2286,15.3,19,7,1.91,MA,1701280784
30,grytviken,-54.2811,-36.5092,1.46,99,100,0.32,GS,1701280671
31,isafjordur,66.0755,-23.124,1.02,80,40,0.0,IS,1701280785
32,ilulissat,69.2167,-51.1,-2.12,69,100,4.98,GL,1701280711
33,lakatoro,-16.0999,167.4164,25.9,86,96,3.32,VU,1701280785
34,talnakh,69.4865,88.3972,-24.74,97,48,2.22,RU,1701280713
35,puerto ayora,-0.7393,-90.3518,28.98,85,82,4.02,EC,1701280707
36,kimbe,-5.5502,150.1429,24.58,94,70,1.58,PG,1701280786
37,la gi,10.6667,107.7833,25.2,89,94,3.58,VN,1701280716
38,brisas de zicatela,15.8369,-97.0419,29.96,56,66,2.29,MX,1701280786
39,west island,-12.1568,96.8225,25.99,73,40,3.6,CC,1701280712
40,greenland,43.0362,-70.8328,2.38,49,75,6.17,US,1701280787
41,penzance,50.1186,-5.5371,9.31,77,100,0.46,GB,1701280787
42,broken hill,-31.95,141.4333,16.61,72,1,6.1,AU,1701280787
43,cudillero,43.5622,-6.1459,16.06,98,75,0.51,ES,1701280787
44,mana,5.6592,-53.7767,29.22,65,25,4.26,GF,1701280788
45,shingu,33.7333,135.9833,9.92,77,66,2.31,JP,1701280788
46,fort st. john,56.2499,-120.8529,-6.06,73,20,1.54,CA,1701280735
47,georgetown,5.4112,100.3354,27.19,89,20,1.54,MY,1701280736
48,hailey,43.5196,-114.3153,-0.67,47,0,1.79,US,1701280742
49,punta arenas,-53.15,-70.9167,10.06,46,40,9.77,CL,1701280679
50,stanley,54.868,-1.6985,1.54,92,75,3.6,GB,1701280714
51,pak phanang,8.3511,100.202,25.89,88,100,3.96,TH,1701280789
52,shimoda,34.6667,138.95,10.06,60,27,12.09,JP,1701280790
53,yuzhno-kurilsk,44.0306,145.8556,0.76,54,82,9.2,RU,1701280790
54,kaspiyskiy,45.3929,47.3707,8.81,80,90,8.46,RU,1701280790
55,port alfred,-33.5906,26.891,17.88,79,6,4.15,ZA,1701280704
56,koyulhisar,40.3025,37.8311,4.84,62,100,2.61,TR,1701280791
57,minas de marcona,-15.2119,-75.1103,20.83,54,79,6.69,PE,1701280791
58,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,65,75,6.0,RU,1701280791
59,ushuaia,-54.8,-68.3,11.79,53,0,8.75,AR,1701280727
60,kodiak,57.79,-152.4072,3.73,87,100,8.23,US,1701280731
61,keflavik,64.0049,-22.5624,3.24,87,0,3.6,IS,1701280734
62,san ciro de acosta,21.6333,-99.8167,20.32,65,96,0.4,MX,1701280792
63,sabha,27.0377,14.4283,18.89,19,81,2.0,LY,1701280792
64,wangqing,43.3218,129.7634,-14.72,68,70,4.68,CN,1701280792
65,olonkinbyen,70.9221,-8.7187,-1.06,95,23,7.6,SJ,1701280706
66,faya-largeau,17.9257,19.1043,27.75,20,4,4.78,TD,1701280793
67,boende,-0.2167,20.8667,21.08,99,100,0.45,CD,1701280793
68,ngardmau,7.6099,134.5744,27.21,84,92,6.2,PW,1701280794
69,tucupita,9.0622,-62.051,30.61,58,27,3.48,VE,1701280794
70,sittwe,20.15,92.9,24.33,77,100,1.93,MM,1701280794
71,afif,23.9065,42.9172,22.33,36,1,3.34,SA,1701280794
72,vernon,50.2581,-119.2691,1.27,65,38,2.24,CA,1701280794
73,kyren,51.6828,102.1408,-15.59,83,11,0.89,RU,1701280795
74,posse,-14.0931,-46.3694,36.33,15,40,0.87,BR,1701280795
75,bikenibeu village,1.3673,173.1241,25.98,94,100,1.03,KI,1701280795
76,colby,39.3958,-101.0524,12.12,29,0,7.2,US,1701280795
77,tolanaro,-25.0319,46.9987,27.04,74,0,4.12,MG,1701280796
78,vorgashor,67.5833,63.95,-9.35,95,100,2.38,RU,1701280796
